item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11
Bread,Soap,,,Chocolate,Cereal,Tea,Tea,,Pasta,Tomatoes
Milk,Tea,Apples,Rice,Fish,Bananas,Pasta,Milk,Apples,Apples,Oranges
Oranges,Cheese,,Cookies,Coffee,,Tissue,Soap,Oranges,,Tea
Chocolate,Fish,,Cereal,Chips,Chocolate,,Juice,,Cheese,
Cheese,Pasta,Cereal,Soda,,,Soap,Tomatoes,Yogurt,Toothpaste,Chips
,Tissue,Chocolate,Chips,,Detergent,Chicken,Detergent,Soap,Cheese,
Beef,Yogurt,Soda,,Beef,Yogurt,Chocolate,Rice,Toothpaste,,Tissue
Cereal,Fish,Cookies,,Soap,,Tea,,Eggs,Cereal,Oranges
Yogurt,Chocolate,Eggs,Eggs,Chips,Oranges,Milk,,Yogurt,Pasta,Bananas
Water,Chicken,Bananas,Onions,Water,Cereal,Oranges,Bananas,Tea,Tomatoes,
Chocolate,,,Shampoo,Coffee,Onions,Soap,Fish,,Beef,
,Juice,Soda,Cookies,Cookies,Shampoo,Water,Coffee,,Shampoo,Soda
Apples,Cereal,Soap,Bananas,Onions,Chips,Cookies,,,Detergent,Fish
Soap,Oranges,Eggs,,Cookies,Milk,Yogurt,Bananas,Tomatoes,,Tissue
,Cheese,Yogurt,Chicken,Milk,,Toothpaste,Cereal,Bananas,Bananas,Detergent
Butter,,Chicken,Bread,Water,Onions,,Juice,Bananas,Water,Juice
,Shampoo,Toothpaste,Onions,Rice,Water,Tissue,Fish,Beef,Detergent,Yogurt
Soap,Cookies,Cookies,,,,Beef,,Tissue,Juice,Milk
,Oranges,Soda,,,Cookies,Chocolate,Beef,,Yogurt,
Chips,Onions,,Cereal,Soda,Yogurt,,Milk,Pasta,,
Cookies,Apples,Apples,Cookies,Detergent,,Oranges,Onions,Chips,,Rice
Onions,Pasta,Bread,Fish,Eggs,Milk,Cookies,Soda,,Onions,
Milk,,Yogurt,Soda,,Soda,Rice,Tomatoes,Shampoo,,Apples
,Bread,Chips,Water,Shampoo,Chocolate,,Chicken,Shampoo,Soda,Toothpaste
Beef,Onions,,Bananas,Cheese,Coffee,Yogurt,Yogurt,Yogurt,Tissue,Water
,Cheese,,Juice,Pasta,Pasta,,Rice,,Toothpaste,Rice
Onions,Chips,,Oranges,,Eggs,,Beef,Chocolate,Chicken,Butter
Pasta,,Yogurt,Tissue,Tomatoes,Eggs,Coffee,Yogurt,,Toothpaste,
Cereal,Tissue,Tea,Milk,Tomatoes,Milk,Apples,Tomatoes,Oranges,Yogurt,Toothpaste
Chips,Eggs,,Cookies,Oranges,Tomatoes,,Soap,,,
Apples,,Cereal,,Tissue,Toothpaste,Bananas,Soda,Cookies,Apples,Soap
Bread,Beef,Bread,,,Chocolate,Water,Tissue,,Eggs,Milk
Beef,Toothpaste,,Shampoo,Coffee,,Soap,Oranges,Juice,,Beef
Oranges,,Butter,,,Juice,Toothpaste,Juice,Milk,Chocolate,Yogurt
,Pasta,,Yogurt,Tissue,Cereal,Juice,Beef,,Yogurt,Rice
,Butter,Cheese,Eggs,,Detergent,Tomatoes,Soap,,Chicken,
,Juice,,Chocolate,Bananas,Rice,Oranges,Detergent,Detergent,Shampoo,Toothpaste
Coffee,Rice,,Toothpaste,Detergent,Chocolate,Detergent,Tissue,Apples,Coffee,
Rice,Soda,Milk,Water,Pasta,Cereal,Toothpaste,Tissue,Rice,,Milk
Soda,Shampoo,Bread,Bananas,Fish,Pasta,Tissue,Toothpaste,Cheese,Juice,Tea
Bread,Eggs,Juice,Toothpaste,Water,Chips,Pasta,Chicken,Bananas,Fish,Milk
Tissue,Chocolate,Coffee,Cereal,Tissue,Rice,Eggs,Water,Beef,,Milk
,,Bananas,Pasta,Beef,Onions,,Chips,Water,Rice,Pasta
Cookies,Water,Cheese,Cereal,Water,,Tomatoes,,Chocolate,Eggs,Tissue
Chips,Shampoo,Onions,Detergent,,Soda,Milk,Soap,Eggs,Eggs,
Soap,,Tomatoes,,Tomatoes,Bread,Juice,Milk,Butter,,Chips
Cereal,,Yogurt,Cookies,Toothpaste,Yogurt,Tomatoes,Rice,Rice,,Water
,Detergent,Rice,Cookies,Oranges,Shampoo,Cheese,,Water,Beef,Coffee
Chips,Tea,Chips,Oranges,Water,Water,Rice,,Detergent,Yogurt,Beef
Bread,Onions,Tomatoes,Yogurt,Detergent,,,Beef,Shampoo,Cookies,
Toothpaste,Rice,Shampoo,Bread,Cheese,Juice,Detergent,Apples,,Coffee,Soap
Coffee,Soda,Juice,Beef,Oranges,Onions,Tea,Rice,Shampoo,Chips,Onions
Tissue,,Eggs,Soap,Chocolate,Toothpaste,Oranges,,,Beef,Pasta
Juice,Coffee,Soap,Bread,Toothpaste,,Bread,Detergent,Toothpaste,Milk,Apples
Coffee,Cereal,Soda,Toothpaste,,Soap,Coffee,Coffee,Apples,Tissue,Chicken
,,Milk,Chicken,Chips,Tea,Eggs,Water,Apples,Chicken,Soap
Toothpaste,Chocolate,Chocolate,Apples,Yogurt,Butter,,,,,Oranges
Eggs,Onions,Coffee,Shampoo,Cookies,Coffee,Cheese,Butter,,Apples,Cheese
Water,Cheese,Chocolate,,Pasta,Bread,Tea,,,Fish,
Pasta,,Onions,Fish,,Oranges,Fish,Oranges,Butter,Oranges,
Tea,Eggs,Beef,,Tea,Rice,Yogurt,Fish,,Chocolate,Butter
Yogurt,,,Detergent,,Cheese,,Shampoo,Eggs,Onions,
Bread,Chicken,Bananas,Butter,Coffee,Juice,Beef,Beef,Apples,Shampoo,Bananas
,Tissue,Yogurt,Beef,Fish,Milk,Tomatoes,,Cookies,Eggs,Cookies
Oranges,Milk,Onions,Yogurt,Fish,Water,Shampoo,,Eggs,Onions,Tissue
Pasta,,Onions,Chicken,Fish,,Detergent,Chicken,Yogurt,Cheese,Detergent
,Juice,,Yogurt,Shampoo,Coffee,,Tomatoes,Chips,Chips,Chicken
Eggs,Water,Tissue,Pasta,Bananas,Chicken,Rice,,,Beef,Cookies
Milk,Water,Coffee,Pasta,Onions,,,Soda,,Soda,
Soda,Cereal,,,Oranges,Fish,Milk,Toothpaste,Juice,Tomatoes,
Toothpaste,Chocolate,Bread,Milk,,,Shampoo,Yogurt,Yogurt,,Soap
Juice,Oranges,Yogurt,,Toothpaste,Coffee,Tea,,Tissue,Butter,Juice
Bread,Tea,,Chocolate,Eggs,,Coffee,Fish,Soap,Water,Cereal
Oranges,Oranges,Rice,Fish,Bread,,,Yogurt,Cheese,Oranges,
Milk,Apples,Chicken,Toothpaste,Eggs,Fish,Shampoo,Tissue,Cereal,Chicken,Cereal
Soda,Juice,,Onions,Chocolate,Juice,,Coffee,Pasta,Juice,Juice
,Juice,Chicken,Tomatoes,Beef,Chicken,Bread,Butter,Soda,Apples,Milk
,Milk,Rice,Milk,Cheese,Cookies,Soda,Butter,,,Eggs
Bread,Pasta,Yogurt,Fish,Chocolate,Chips,,Cereal,,,Shampoo
Onions,,,Tissue,Oranges,Detergent,Soda,Juice,Onions,Rice,Bananas
Bread,Water,Soap,Eggs,Detergent,Bananas,Toothpaste,,Fish,,Detergent
,Tomatoes,Yogurt,Detergent,Fish,Bananas,Yogurt,Eggs,Detergent,Cereal,
Toothpaste,Chicken,Yogurt,Soda,Soda,,Tissue,Juice,,Detergent,
Cereal,Chips,Eggs,Yogurt,Bananas,Pasta,,Chocolate,,,
Butter,Cereal,,Milk,,Cereal,Water,Cheese,Soda,Apples,Toothpaste
Bread,Shampoo,,Chips,Milk,Cereal,Cookies,Rice,Water,Soap,Tissue
Tissue,,Shampoo,,Cookies,Tomatoes,Beef,Rice,Cheese,Chips,Cheese
Soap,Milk,Tissue,,Soda,Pasta,Bananas,Cheese,Soap,,Oranges
Butter,Shampoo,,Coffee,Rice,Fish,,Chips,Apples,Yogurt,Bananas
Apples,Chips,,Pasta,Chocolate,Milk,,Fish,Tea,Toothpaste,Onions
Milk,Tissue,,,,,Rice,Rice,Shampoo,Cereal,Rice
Cereal,Rice,Water,Bread,Bread,Shampoo,,Onions,,Cereal,
,Water,Rice,Butter,Cereal,Onions,Coffee,Oranges,Detergent,Tissue,Tea
Butter,Tomatoes,Tissue,,Coffee,Fish,,Soap,,,
Apples,,Beef,Chicken,Cereal,Cereal,Shampoo,Onions,Milk,Beef,Water
Toothpaste,,Cookies,Oranges,,Toothpaste,Toothpaste,Cookies,Rice,Butter,Cookies
,Rice,Cheese,Bananas,Chocolate,Beef,Apples,Soap,Beef,Chips,
Soap,Milk,Pasta,Apples,,Tissue,Chicken,Bread,Rice,Fish,Rice
,Tea,Rice,Tissue,Rice,Juice,Rice,,Tea,Water,Chips
Oranges,Toothpaste,Soap,,Cookies,Cereal,Soda,Chocolate,Pasta,,
,Chocolate,Rice,Rice,Soap,Toothpaste,,Tissue,,Coffee,Soap
Apples,Juice,Milk,Yogurt,Soda,Coffee,Soda,Soda,Tea,,Beef
Milk,Rice,Toothpaste,Cheese,Cookies,Detergent,Water,Cereal,Beef,,Fish
Yogurt,Butter,Yogurt,Onions,Eggs,Juice,Eggs,Oranges,,Soda,Tomatoes
Cookies,Cookies,Chocolate,Juice,Toothpaste,Shampoo,Eggs,Cookies,Shampoo,Soap,Eggs
Tea,Cheese,Onions,Pasta,Coffee,Juice,Pasta,Soda,Soda,Fish,Water
,Juice,Yogurt,,,Juice,Chocolate,Toothpaste,Bread,,Yogurt
Cookies,,Detergent,Milk,Juice,Cookies,Juice,Cheese,Yogurt,Yogurt,
Chocolate,Oranges,Cereal,Bread,Cheese,Eggs,Butter,Bananas,Tea,Juice,
Beef,Toothpaste,Tissue,Tea,Cheese,Cereal,Water,,Chocolate,Tea,Cookies
Bread,,Cereal,Chicken,Cookies,,Shampoo,Soap,Tea,Detergent,
Beef,Tomatoes,Water,Bananas,Apples,Tea,,Shampoo,Tea,Shampoo,Tissue
Onions,Oranges,Onions,Detergent,Rice,Pasta,Milk,Oranges,Bread,,Milk
,Soda,Detergent,Apples,Pasta,Cheese,,Coffee,Soap,Juice,
,Shampoo,Chicken,Cereal,Tea,Pasta,Apples,Eggs,Water,Water,
,Fish,,,Fish,Cookies,Butter,,Oranges,,
Shampoo,Water,Shampoo,Chips,Beef,Rice,Bananas,Chocolate,Chocolate,Toothpaste,Chicken
,Eggs,Soap,Bananas,,Bread,Shampoo,Tomatoes,,,Coffee
Soap,,,Chips,,Oranges,Chips,Juice,,Milk,Coffee
Chips,Milk,Beef,Fish,Soda,Eggs,Shampoo,Apples,Shampoo,Butter,Soap
Toothpaste,Water,Apples,Oranges,Shampoo,Onions,Onions,,Oranges,Coffee,
Yogurt,Detergent,Chips,Tomatoes,Onions,Detergent,,Tea,,Cookies,Butter
Eggs,Milk,Cookies,Toothpaste,,,,Fish,Soap,Juice,Chocolate
Cookies,Onions,,Chocolate,Chips,Butter,Yogurt,,,Tea,Juice
,Shampoo,Apples,Yogurt,Bananas,Tomatoes,Tissue,Rice,,Tomatoes,Shampoo
Pasta,Soap,Shampoo,Butter,Chicken,Tea,Water,Bread,Fish,Yogurt,Toothpaste
Chicken,Cookies,Toothpaste,,Fish,Chips,Toothpaste,Cheese,,Juice,
Yogurt,,Chips,Rice,Coffee,Soap,Tea,Fish,Tissue,Eggs,Tea
Rice,Fish,Chicken,Juice,Shampoo,Detergent,Tomatoes,Pasta,Soap,Soap,Coffee
Juice,Shampoo,,,Water,Cookies,Apples,Chips,Bananas,Apples,Detergent
Shampoo,Soap,Chicken,Milk,,Chicken,Oranges,Chicken,Oranges,,
Water,,Chocolate,Milk,Toothpaste,Rice,Cookies,Toothpaste,Chips,Onions,Yogurt
Toothpaste,Detergent,Shampoo,Chocolate,,,Chocolate,,,,Cookies
Cheese,,Chicken,Soda,Onions,Tomatoes,Water,,Cookies,Yogurt,Oranges
Detergent,Juice,Cheese,,Detergent,Shampoo,Eggs,,Coffee,Cookies,
,Coffee,Pasta,Coffee,Detergent,Chicken,Bananas,Fish,,Eggs,Cookies
Cookies,Tomatoes,Chocolate,,Eggs,Bananas,,Fish,Milk,,Cheese
Fish,Tissue,Pasta,Bananas,Rice,Tomatoes,Rice,Soda,Shampoo,,
Toothpaste,Rice,Cereal,Onions,Apples,,Apples,Soda,,,Tissue
Tissue,Coffee,Onions,Butter,Chocolate,Shampoo,,Soda,Toothpaste,Water,Beef
Chips,Bread,Cereal,Rice,Water,Chips,Chocolate,Bread,Toothpaste,Pasta,Soda
Apples,Oranges,Yogurt,Chips,Beef,,Pasta,Cereal,Beef,Chips,
Chicken,Detergent,Water,Coffee,Milk,Cheese,Cheese,Cookies,,Tea,
Coffee,Eggs,,,,,Cheese,Onions,Beef,Coffee,
Chocolate,,Milk,Pasta,Tissue,Coffee,Cheese,Bananas,,Cereal,
Eggs,Cookies,Pasta,,Cookies,Yogurt,Cereal,Bananas,Apples,Chips,Bread
Onions,,Cereal,Cereal,Bananas,Rice,Chocolate,Juice,Cereal,Water,Juice
Cookies,Soap,,Coffee,,Yogurt,Yogurt,,Rice,Oranges,
Cereal,Chocolate,Chips,Rice,Chicken,Yogurt,Toothpaste,Oranges,Chicken,Bananas,
Cereal,Cheese,Bananas,,Tissue,Chicken,Rice,Tissue,Tomatoes,,Chocolate
Soda,Bananas,Bananas,Cookies,Cookies,,,Toothpaste,Juice,Juice,
Yogurt,Fish,Bread,Beef,Tomatoes,Tea,Bananas,Rice,Beef,Cheese,Cereal
Bread,Bananas,,Soap,Fish,Detergent,,Water,Detergent,,Butter
Fish,Fish,Apples,Bananas,Oranges,Butter,,Coffee,,Chicken,
Bananas,Apples,Chips,Chips,Juice,Apples,Chocolate,,Tea,,Eggs
Chips,Onions,Pasta,Detergent,Tissue,Chicken,Coffee,Juice,Chocolate,,Detergent
Apples,,Beef,Butter,Onions,Onions,Beef,Cookies,Pasta,,
Bread,Detergent,,,,Cheese,Bread,Bread,Milk,Chocolate,Apples
Chicken,Cereal,Bananas,Cheese,,Water,,Rice,Apples,,Cereal
,Bread,Toothpaste,Rice,Cereal,Cheese,Eggs,,Juice,Milk,Water
Onions,,Cookies,,Tea,Water,Beef,Butter,Coffee,Bananas,
Tea,Tomatoes,,Juice,,Juice,Yogurt,,Tea,,
Pasta,Fish,Milk,,,,Yogurt,Chocolate,Chocolate,Shampoo,
Oranges,Chips,,Soap,Beef,Apples,Beef,,Toothpaste,Cheese,Beef
,Bananas,Chips,Chips,Pasta,Butter,Juice,,Soap,Cookies,Milk
,,,Pasta,Yogurt,Bread,,,Tea,Chips,
Bread,Chips,,Pasta,Oranges,Tea,,Bread,Chocolate,Tomatoes,Cereal
Soap,Coffee,Water,Coffee,Juice,Beef,Water,Oranges,Tissue,,
,Oranges,Juice,Butter,Coffee,Bread,Onions,Oranges,Beef,Tomatoes,
Butter,Beef,Apples,Chicken,Rice,Juice,,Milk,Tea,Tea,
Chicken,Toothpaste,Cereal,,,Pasta,Oranges,Chicken,Coffee,,Toothpaste
Soda,,Pasta,,Bananas,Water,,Cheese,Beef,Bananas,
,Bread,,Chips,Onions,Butter,Yogurt,Cheese,Apples,,
Toothpaste,Chocolate,Cereal,Beef,Soap,Tomatoes,Bananas,Rice,Oranges,Juice,
Butter,Bread,Soda,Fish,,,,Bananas,,Oranges,
Detergent,Chips,Bananas,Tissue,Cheese,Chips,Juice,,,Yogurt,
Beef,Tissue,Beef,Soap,,Chicken,Chips,Apples,Chicken,Yogurt,Oranges
Bread,Juice,Oranges,Detergent,Beef,Chocolate,,,Bread,Water,Shampoo
,Cereal,Cereal,Bread,Soda,Onions,,Yogurt,Chips,Eggs,Tea
Butter,Cookies,Chicken,,Cookies,Tissue,Toothpaste,,Coffee,Shampoo,Soap
Detergent,Bread,,,,Eggs,Eggs,Oranges,Shampoo,Beef,Beef
Chicken,Detergent,Tea,Cookies,Bread,Bread,Bread,Eggs,Bread,Eggs,
Juice,Water,Cheese,Toothpaste,Soda,,Oranges,Coffee,Eggs,Eggs,Cheese
Toothpaste,Soap,Juice,Yogurt,Chips,Fish,Butter,Beef,Chicken,,Shampoo
Rice,Chips,,Milk,,Cereal,Tea,Coffee,,Tomatoes,Cookies
Bread,,Onions,,Coffee,Oranges,Tissue,Soda,Soda,Water,Pasta
Oranges,Bread,Tissue,Detergent,Coffee,,Toothpaste,Onions,,Eggs,Cereal
Soap,Water,,,Apples,Water,Shampoo,Detergent,Coffee,Rice,
Apples,Eggs,Beef,Soda,Toothpaste,Tea,Cookies,Yogurt,Soap,,Tissue
Detergent,Milk,Onions,Cereal,Pasta,Cheese,Cookies,Tissue,,Fish,Juice
Chocolate,Water,Cereal,Milk,,Milk,Fish,Apples,Butter,Fish,Chocolate
Chocolate,Apples,Detergent,Fish,Juice,Toothpaste,Chicken,Beef,Rice,Detergent,
Toothpaste,Shampoo,Juice,Rice,Milk,,Soap,Tea,Bread,Onions,Bananas
Oranges,,Tissue,Yogurt,Oranges,,Fish,Soap,,Toothpaste,Bread
Coffee,Chips,Chocolate,Fish,Bananas,Pasta,Rice,,Toothpaste,Water,
,Tea,Shampoo,Tissue,Apples,Pasta,Yogurt,Apples,Chips,,Detergent
Onions,Coffee,,Eggs,Shampoo,Rice,Cookies,Cookies,,Cookies,Cheese
Pasta,,,,Eggs,,,Pasta,Bread,,Oranges
Water,Tea,Cereal,Cereal,,,,,Bread,Tomatoes,
Yogurt,Tissue,Rice,,,Onions,Cheese,,Pasta,Soap,Cheese
Eggs,Butter,Onions,Yogurt,,Cheese,Tomatoes,,,,Soda
Eggs,Bananas,Rice,Butter,Milk,Tissue,Fish,Apples,,,Onions
,Cookies,Fish,Coffee,,Juice,,Coffee,Soap,Eggs,Detergent
Detergent,Juice,Butter,Beef,,Bread,Soap,Eggs,Onions,,Chocolate
Butter,,Yogurt,Bananas,Chocolate,Coffee,,,,Yogurt,Butter
Fish,Tea,Milk,,,,Cereal,Cookies,Oranges,,Juice
,,,Beef,Beef,Chocolate,Bread,Tomatoes,,Cheese,Tomatoes
Bananas,Coffee,Chicken,,,Oranges,Bread,Cheese,,Coffee,Bread
Yogurt,Oranges,,Soda,Eggs,,,Beef,Tomatoes,Chicken,Cookies
Pasta,Eggs,Cheese,Chips,Fish,Juice,Chips,,Bread,Rice,Milk
,Butter,,Onions,,Tissue,,Cheese,,,
Pasta,Tea,Tomatoes,Eggs,Bread,Milk,Soda,,,Toothpaste,Coffee
Apples,Butter,Soap,Shampoo,Cheese,Rice,Fish,,Milk,,Butter
Cereal,,Soda,Detergent,Eggs,Tissue,,Shampoo,,Soda,Pasta
Beef,Milk,Soda,Soda,,Water,Rice,Apples,Eggs,Oranges,Onions
Shampoo,Pasta,Detergent,Tea,,Juice,Oranges,Toothpaste,Beef,Apples,Bread
Onions,,Toothpaste,Coffee,Milk,Cheese,Apples,,Cheese,Tomatoes,Juice
Bananas,Oranges,Cookies,Pasta,Soda,Cereal,,Butter,Oranges,,
,Soda,Tea,Cheese,,Cookies,Cereal,Pasta,,Oranges,
Tomatoes,Fish,Chocolate,Soap,Butter,Eggs,Eggs,Apples,Water,Bananas,Bananas
Water,Juice,Soap,Tomatoes,Tissue,,Butter,Oranges,Coffee,,Chicken
Chips,Tomatoes,Tomatoes,Coffee,Chicken,Tea,,Water,,Detergent,
,Shampoo,Toothpaste,Soap,Pasta,Coffee,Yogurt,Beef,,Onions,Tissue
Shampoo,Pasta,Chips,Chicken,Pasta,Milk,Cookies,Onions,Chicken,Onions,Chicken
Bread,Chips,Rice,Onions,Cereal,,Cereal,Milk,Rice,Cookies,Toothpaste
Chicken,Water,Juice,Tomatoes,Tomatoes,Eggs,,Beef,,Pasta,Coffee
Soda,Tea,,,,Bananas,,Soda,Bananas,Chicken,Yogurt
Detergent,Oranges,Detergent,,Chicken,,Tomatoes,Chicken,Coffee,,
Bread,Cereal,Toothpaste,Yogurt,,,Chips,,Bread,Tomatoes,Coffee
Milk,Rice,Beef,,Bananas,Tissue,Juice,Onions,Chocolate,Milk,Fish
Beef,Onions,Butter,Toothpaste,Beef,Tea,,Cheese,,Bananas,Bread
Toothpaste,Tomatoes,Tissue,Bananas,Tea,Rice,Chocolate,Onions,Detergent,Coffee,Bananas
,,Butter,Chips,Pasta,Butter,Rice,Detergent,Bread,Eggs,
Eggs,Rice,Juice,Juice,Detergent,Onions,Detergent,Oranges,Beef,Pasta,Coffee
Fish,Water,,Rice,Cookies,Detergent,Rice,Bread,Chicken,Onions,Bananas
Apples,Tea,Soda,Yogurt,Bananas,,Juice,Yogurt,,Rice,
Chocolate,,Chips,Soap,,,,Tomatoes,Bananas,Cheese,
Milk,Onions,Soda,Cereal,Chicken,Pasta,,Oranges,,,Pasta
Detergent,Fish,Bananas,,Soda,Juice,Soap,,Tomatoes,Cheese,Water
Tea,Yogurt,Apples,Cheese,Chocolate,Onions,Chips,Eggs,Cereal,,
Pasta,Butter,,Bread,Cookies,Chocolate,Bananas,Yogurt,,Tomatoes,Yogurt
Water,,Detergent,Water,Cookies,,Juice,,Coffee,Toothpaste,Bananas
Juice,Eggs,Bread,,Fish,Chocolate,Chicken,Soap,,Rice,Chicken
Coffee,,,Cookies,Milk,Fish,Pasta,Fish,Cheese,Fish,Tissue
Tissue,,Soap,Detergent,Onions,Water,Rice,Soap,Rice,Apples,Coffee
Cheese,Oranges,Water,Toothpaste,Soda,Toothpaste,Juice,Fish,,Chips,Rice
Onions,Chocolate,Cookies,Apples,Chicken,,Toothpaste,Cheese,Cereal,Cookies,Chicken
Milk,Milk,,Tea,,Soap,Butter,Oranges,Apples,Shampoo,Apples
Tomatoes,,Cereal,Milk,Soap,Chicken,,,,Juice,Chicken
Water,Chips,Milk,Tea,Chocolate,,Tea,Soap,Detergent,Pasta,
Eggs,,,Eggs,,Rice,Yogurt,Bananas,,,Fish
Cheese,Pasta,,Milk,Tissue,Juice,Water,Cookies,Pasta,,Rice
Butter,Water,Chicken,Onions,Cereal,Shampoo,Cheese,Chocolate,Fish,Apples,Milk
Butter,,Cereal,Yogurt,,Apples,Coffee,Eggs,Tea,Soda,Yogurt
,Soap,Apples,Cereal,Cereal,,Bread,Apples,Oranges,Tomatoes,Rice
,,Tissue,Tissue,Toothpaste,Yogurt,Fish,Detergent,,Milk,Pasta
Chicken,Bananas,Cheese,,Chicken,,Tomatoes,Tissue,Soda,Yogurt,
Eggs,,Tea,Chocolate,,,,Tomatoes,Onions,Cookies,
Bananas,Chips,Eggs,Soap,,Juice,Coffee,Soap,Chicken,,
,Soap,Fish,Soap,,Tea,Water,Toothpaste,Tissue,Bread,Tissue
Coffee,,Detergent,Cheese,Fish,Chips,Bread,Beef,Shampoo,Soda,Bread
,Bananas,Onions,Chicken,Yogurt,Detergent,Chips,Tissue,Tomatoes,Toothpaste,
Fish,,Apples,,Tissue,,Cheese,Eggs,Shampoo,Pasta,Cookies
,,Fish,Butter,Yogurt,Pasta,Cheese,Chicken,Pasta,,Shampoo
,Coffee,,Eggs,Chips,Butter,Shampoo,Water,Detergent,,Tissue
Soda,,Cheese,,Eggs,Juice,Chips,Soap,Cheese,Detergent,Butter
Bananas,Shampoo,Beef,Detergent,Fish,Rice,Fish,Cookies,Beef,Soap,Apples
,Bread,Butter,Chicken,,Rice,Bread,Juice,,,Bread
Cheese,Milk,Yogurt,Soap,Yogurt,Apples,Rice,Beef,Chicken,Beef,Soap
,Chips,Fish,Toothpaste,Chips,,Tissue,Cheese,,Tea,Fish
Chocolate,Soda,Toothpaste,Water,Bread,Soap,Yogurt,,Pasta,Milk,
Bananas,,Tomatoes,Cookies,,Juice,Apples,Coffee,,Rice,Detergent
Yogurt,Milk,Rice,Oranges,Shampoo,Soap,Shampoo,Tissue,Chips,Chocolate,Cereal
Fish,Rice,Bread,Yogurt,Detergent,Oranges,Bread,,Water,Cookies,Soda
Bananas,,,Milk,Bananas,Yogurt,,Bananas,Toothpaste,Bread,
Chips,,,Chips,Eggs,Chicken,,Apples,Shampoo,Milk,Coffee
Tomatoes,Milk,Water,,Apples,Onions,,Toothpaste,Juice,Cookies,Bananas
,Bananas,Pasta,Onions,Juice,Onions,Water,Detergent,Coffee,Tissue,Chips
,,Chicken,Pasta,Water,Chocolate,Shampoo,Oranges,Butter,Chicken,Bread
,,Butter,Cereal,Rice,,Milk,Cereal,Detergent,Toothpaste,Cookies
Tomatoes,Soap,Eggs,,,Shampoo,,Milk,Milk,Chicken,Chips
Pasta,Detergent,,Eggs,,Juice,Coffee,Water,Chocolate,Apples,Bread
Soap,Water,Chicken,Rice,Shampoo,Toothpaste,Eggs,Tissue,Rice,Milk,Milk
